S-10B
S-20D Google 6 0.806 S:7, I:0, D:25
S-20D Kaldi 7 0.565 S:20, I:0, D:1
S-20D Google 7 0.729 S:13, I:0, D:18
S-20D Kaldi 8 0.35 S:13, I:0, D:3
S-20D Google 8 0.545 S:10, I:0, D:6
S-20D Kaldi 9 0.551 S:37, I:2, D:0
S-20D Google 9 0.488 S:41, I:0, D:14
S-20D Kaldi 10 0.46 S:54, I:0, D:3
S-20D Google 10 0.52 S:49, I:0, D:22
S-20D Kaldi 11 0.423 S:41, I:0, D:1
S-20D Google 11 0.521 S:35, I:0, D:11
S-29A
S-29A Kaldi 0 0.157 S:204, I:0, D:11
S-29A Google 0 0.307 S:169, I:0, D:48
S-29A Kaldi 1 0.21 S:226, I:0, D:22
S-29A Google 1 0.302 S:201, I:0, D:61
S-29A Kaldi 2 0.172 S:241, I:0, D:28
S-29A Google 2 0.406 S:174, I:0, D:101
S-29A Kaldi 3 0.175 S:259, I:0, D:25
S-29A Google 3 0.316 S:216, I:0, D:68
S-29A Kaldi 4 0.18 S:423, I:0, D:26
S-29A Google 4 0.324 S:350, I:0, D:116
S-29A Kaldi 5 0.145 S:230, I:0, D:17
S-29A Google 5 0.273 S:197, I:0, D:48
S-29A Kaldi 6 0.2 S:28, I:0, D:4
S-29A Google 6 0.351 S:24, I:0, D:13
S-29A Kaldi 7 0.241 S:63, I:0, D:4
S-29A Google 7 0.294 S:60, I:0, D:19
S-29A Kaldi 8 0.178 S:61, I:1, D:0
S-29A Google 8 0.227 S:58, I:0, D:12
S-29A Kaldi 9 0.2 S:32, I:0, D:5
S-29A Google 9 0.524 S:20, I:0, D:15
S-29A Kaldi 10 0.206 S:54, I:0, D:6
S-29A Google 10 0.343 S:46, I:0, D:15
S-29A Kaldi 11 0.36 S:32, I:0, D:9
S-29A Google 11 0.288 S:37, I:0, D:13
S-14B
S-14B Kaldi 0 0.31 S:236, I:0, D:18
S-14B Google 0 0.439 S:193, I:0, D:88
S-14B Kaldi 1 0.319 S:239, I:0, D:42
S-14B Google 1 0.436 S:199, I:0, D:87
S-14B Kaldi 2 0.286 S:232, I:0, D:23
S-14B Google 2 0.404 S:195, I:0, D:65
S-14B Kaldi 3 0.44 S:79, I:0, D:10
S-14B Google 3 0.566 S:62, I:0, D:42
S-14B Kaldi 4 0.297 S:225, I:0, D:21
S-14B Google 4 0.453 S:176, I:0, D:81
S-14B Kaldi 5 0.224 S:363, I:0, D:27
S-14B Google 5 0.353 S:304, I:0, D:86
S-14B Kaldi 6 0.265 S:50, I:0, D:6
S-14B Google 6 0.443 S:39, I:0, D:24
S-14B Kaldi 7 0.359 S:59, I:0, D:6
S-14B Google 7 0.34 S:62, I:0, D:25
S-14B Kaldi 8 0.29 S:22, I:0, D:5
S-14B Google 8 0.394 S:20, I:0, D:11
S-32D
S-32D Kaldi 0 0.425 S:145, I:0, D:11
S-32D Google 0 0.531 S:119, I:0, D:69
S-32D Kaldi 1 0.251 S:236, I:0, D:33
S-32D Google 1 0.407 S:188, I:0, D:92
S-32D Kaldi 2 0.404 S:152, I:0, D:34
S-32D Google 2 0.506 S:127, I:0, D:88
S-32D Kaldi 3 0.21 S:226, I:0, D:25
S-32D Google 3 0.441 S:161, I:0, D:102
S-32D Kaldi 4 0.283 S:213, I:0, D:37
S-32D Google 4 0.589 S:123, I:0, D:143
S-32D Kaldi 5 0.237 S:174, I:0, D:17
S-32D Google 5 0.4 S:138, I:0, D:65
S-32D Kaldi 6 0.364 S:49, I:0, D:19
S-32D Google 6 0.62 S:31, I:0, D:38
S-32D Kaldi 7 0.296 S:76, I:0, D:21
S-32D Google 7 0.518 S:53, I:0, D:39
S-32D Kaldi 8 0.281 S:23, I:0, D:3
S-32D Google 8 0.5 S:17, I:0, D:12
S-32D Kaldi 9 0.311 S:113, I:0, D:18
S-32D Google 9 0.398 S:100, I:0, D:37
S-32D Kaldi 10 0.4 S:9, I:0, D:0
S-32D Google 10 0.824 S:3, I:0, D:10
S-32D Kaldi 11 0.259 S:45, I:2, D:0
S-32D Google 11 0.5 S:30, I:0, D:4
S-22B
S-22B Kaldi 0 0.253 S:165, I:0, D:12
S-22B Google 0 0.448 S:123, I:0, D:62
S-22B Kaldi 1 0.214 S:184, I:0, D:2
S-22B Google 1 0.347 S:154, I:0, D:48
S-22B Kaldi 2 0.216 S:456, I:0, D:16
S-22B Google 2 0.378 S:363, I:0, D:110
S-22B Kaldi 3 0.183 S:205, I:0, D:10
S-22B Google 3 0.379 S:157, I:0, D:67
S-22B Kaldi 4 0.232 S:262, I:0, D:33
S-22B Google 4 0.446 S:190, I:0, D:103
S-22B Kaldi 5 0.188 S:303, I:0, D:9
S-22B Google 5 0.405 S:223, I:0, D:93
S-22B Kaldi 6 0.273 S:24, I:0, D:5
S-22B Google 6 0.543 S:16, I:0, D:12
S-22B Kaldi 7 0.183 S:134, I:0, D:7
S-22B Google 7 0.283 S:119, I:0, D:25
S-22B Kaldi 8 0.187 S:183, I:0, D:10
S-22B Google 8 0.361 S:145, I:0, D:48
S-22B Kaldi 9 0.136 S:38, I:0, D:1
S-22B Google 9 0.304 S:32, I:0, D:11
S-22B Kaldi 10 0.203 S:161, I:0, D:6
S-22B Google 10 0.319 S:139, I:0, D:31
S-22B Kaldi 11 0.194 S:166, I:0, D:3
S-22B Google 11 0.413 S:122, I:0, D:42
S-28D
S-4D
